產品名稱,媒體別名稱,,"實際發稿量
(2016年全年)",%,"實際發稿量
(2017年全年)",%,"實際發稿量
(2018年全年)",%,"實際發稿量
(2019年全年)",%,"實際發稿量
(2020年全年)",%,"實際發稿量
(2021年全年)",%,"實際發稿量
(2022.01-11)",%
總計,無線電視,,21777381,0.057959073,14588968,0.03909815,18583000,0.044955282,13585600,0.036157203,8849000,0.037559925,10490000,0.047212882,10589500,0.060629858
,有線電視,,167984910,0.447080832,187185674,0.501653962,187444687,0.453459009,110209276,0.293314919,58519564,0.248388569,62380250,0.280757998,63233200,0.362039751
,報紙,,5758476,0.015325807,6412095,0.01718429,4877953,0.011800557,4060000,0.01080543,0,0,0,0,0,0
,雜誌,,11658840,0.031029239,3103160,0.008316408,3014665,0.007292962,1678000,0.004465889,0,0,0,0,0,0
,廣播,,11986439,0.031901122,7355822,0.01971346,17863960,0.043215808,14947905,0.03978289,4608526,0.019561068,2834168,0.012755886,3216541,0.018416207
,戶外,,19036659,0.050664821,11178157,0.029957243,8226437,0.019901081,26171175,0.069652904,2735238,0.011609824,6630856,0.029843834,400000,0.002290188
,數位,關鍵字廣告,22205209,0.059097709,20892947,0.055992691,23481327,0.056805127,22507521,0.059902323,27248470,0.115657192,25061894,0.112797355,17603705,0.100789474
,,展示型廣告,49384381,0.131433295,35357415,0.094757184,48816356,0.118094659,74936355,0.199438302,59285347,0.251638965,33026189,0.148642667,12809324,0.073339392
,,口碑/內容操作,19113130,0.050868343,25537839,0.068440911,24484717,0.05923249,27087255,0.072090992,34087109,0.144684062,55059018,0.247806953,45423552,0.260071156
,,影音廣告,46831797,0.12463976,61524962,0.1648857,76573229,0.185243024,80553941,0.214389147,40263594,0.170900393,26702747,0.120182426,21382347,0.122423973
,Total,,375737222,1,373137039,1,413366331,1,375737028,1,235596848,1,222185122,1,174658169,1
,,,,,,,,,,,,,,,,
傳統,,,238202705,0.633960894,229823876,0.615923513,240010702,0.5806247,170651956,0.454179235,74712328,0.317119387,82335274,0.3705706,77439241,0.443376004
數位,,,137534517,0.366039106,143313163,0.384076487,173355629,0.4193753,205085072,0.545820765,160884520,0.682880613,139849848,0.6294294,97218928,0.556623996
(商用車)傳統,,,36536870,0.837592165,12875157,0.774448515,22950102,0.925222779,25134381,0.792245786,16324284,0.587463261,24911883,0.556338045,33502566,0.566645402
(商用車)數位,,,7084443,0.162407835,3749779,0.225551485,1854845,0.074777221,6591103,0.207754214,11463469,0.412536739,19866437,0.443661955,25621828,0.433354598
"(乘用車, 含AS)傳統",,,201665835,0.607215221,216948719,0.608531147,217060600,0.558626279,145517575,0.423002011,58388044,0.280969627,57423391,0.323682014,43936675,0.380292906
"(乘用車, 含AS)數位",,,130450074,0.392784779,139563384,0.391468853,171500784,0.441373721,198493969,0.576997989,149421051,0.719030373,119983411,0.676317986,71597100,0.619707094
