公司別,All,,
日別,All,,
,,,
來店數,,,
,,,合計
2020,10,JDV,458
2020,10,NPZ45,948
2020,10,NS,302
2020,10,RE,697
2020,10,RE-PHEV,1
2020,10,SR,285
2020,11,AS,"1,123"
2020,11,ASP,278
2020,11,CP,3
2020,11,DE,250
2020,11,DET,839
2020,11,ECP,3
2020,11,JDP,"1,658"
2020,11,JDV,505
2020,11,NPZ45,"1,166"
2020,11,NS,379
2020,11,RE,706
2020,11,SR,312
2020,12,AS,"1,351"
2020,12,ASP,332
2020,12,CP,1
2020,12,DE,333
2020,12,DET,"1,037"
2020,12,ECP,2
2020,12,JDP,"2,177"
2020,12,JDV,619
2020,12,NPZ45,"1,428"
2020,12,NS,188
2020,12,RE,818
2020,12,SR,331
2021,1,AS,"1,286"
2021,1,ASP,367
2021,1,BK5門,4
2021,1,CP,1
2021,1,DE,272
2021,1,DET,606
2021,1,ECP,5
2021,1,JDP,"1,229"
2021,1,JDV,415
2021,1,NPZ45,"1,455"
2021,1,NS,379
2021,1,RE,"1,014"
2021,1,RE-PHEV,1
2021,1,SR,387
2021,2,AS,679
2021,2,ASP,132
2021,2,CP,2
2021,2,DE,232
2021,2,DET,494
2021,2,ECP,3
2021,2,JDP,771
2021,2,JDV,319
2021,2,NPZ45,636
2021,2,NS,232
2021,2,RE,459
2021,2,SR,260
2021,3,AS,917
2021,3,ASP,160
2021,3,CP,3
2021,3,DE,310
2021,3,DET,767
2021,3,ECP,4
2021,3,JDP,"1,590"
2021,3,JDV,523
2021,3,NPZ45,801
2021,3,NS,282
2021,3,RE,626
2021,3,RE-PHEV,1
2021,3,SR,250
2021,4,AS,859
2021,4,ASP,137
2021,4,BK5門,1
2021,4,CP,2
2021,4,DE,260
2021,4,DET,672
2021,4,ECP,6
2021,4,JDP,"1,207"
2021,4,JDV,407
2021,4,NPZ45,835
2021,4,NS,204
2021,4,RE,588
2021,4,RE-PHEV,104
2021,4,SR,207
2021,5,AS,825
2021,5,ASP,139
2021,5,BK5門,1
2021,5,DE,245
2021,5,DET,645
2021,5,ECP,1
2021,5,JDP,"1,132"
2021,5,JDV,416
2021,5,NPZ45,694
2021,5,NS,122
2021,5,RE,458
2021,5,RE-PHEV,93
2021,5,SR,179
2021,6,AS,746
2021,6,ASP,133
2021,6,CP,1
2021,6,DE,199
2021,6,DET,565
2021,6,ECP,5
2021,6,EJD,6
2021,6,JDP,"1,146"
2021,6,JDV,327
2021,6,KZ,1
2021,6,NPZ45,634
2021,6,NS,103
2021,6,RE,311
2021,6,RE-PHEV,28
2021,6,SR,157
2021,7,AS,823
2021,7,ASP,157
2021,7,CP,4
2021,7,DE,248
2021,7,DET,739
2021,7,ECP,2
2021,7,EJD,13
2021,7,JDP,"1,366"
2021,7,JDV,461
2021,7,NPZ45,663
2021,7,NS,107
2021,7,RE,398
2021,7,RE-PHEV,29
2021,7,SR,167
2021,8,AS,795
2021,8,ASP,183
2021,8,CP,7
2021,8,DE,263
2021,8,DET,697
2021,8,ECP,4
2021,8,EJD,12
2021,8,JDP,"1,202"
2021,8,JDV,479
2021,8,NPZ45,773
2021,8,NS,117
2021,8,RE,425
2021,8,RE-PHEV,16
2021,8,SR,191
2021,9,AS,936
2021,9,ASP,170
2021,9,CP,4
2021,9,DE,277
2021,9,DET,680
2021,9,ECP,3
2021,9,EJD,6
2021,9,JDP,"1,332"
2021,9,JDV,447
2021,9,NPZ45,802
2021,9,NS,142
2021,9,RE,584
2021,9,RE-PHEV,1
2021,9,SR,205
2021,10,AS,940
2021,10,ASP,170
2021,10,CP,1
2021,10,DE,285
2021,10,DET,733
2021,10,ECP,3
2021,10,EJD,9
2021,10,JDP,"1,266"
2021,10,JDV,496
2021,10,NPZ45,847
2021,10,NS,154
2021,10,RE,659
2021,10,RE-PHEV,4
2021,10,SR,215
2021,11,AS,"1,025"
2021,11,ASP,292
2021,11,BK5門,1
2021,11,DE,281
2021,11,DET,688
2021,11,ECP,1
2021,11,EJD,9
2021,11,JDP,"1,296"
2021,11,JDV,530
2021,11,NPZ45,831
2021,11,NS,176
2021,11,RE,601
2021,11,RE-PHEV,2
2021,11,SR,234
2021,12,AS,"1,189"
2021,12,ASP,265
2021,12,DE,297
2021,12,DET,795
2021,12,ECP,2
2021,12,EJD,6
2021,12,JDP,"1,396"
2021,12,JDV,630
2021,12,NPZ45,891
2021,12,NS,166
2021,12,RE,632
2021,12,RE-PHEV,2
2021,12,SR,276
2022,1,AS,"1,138"
2022,1,ASP,192
2022,1,DE,183
2022,1,DET,473
2022,1,ECP,2
2022,1,EJD,9
2022,1,JDP,"1,094"
