Model,CarType,Category,year,months,sales
AS,ZINGER,乘用車,2020,10,531
AS,ZINGER,乘用車,2020,11,680
AS,ZINGER,乘用車,2020,12,699
DE,DELICA(廂車),商用車,2020,1,190
DE,DELICA(廂車),商用車,2020,2,162
DE,DELICA(廂車),商用車,2020,3,175
DE,DELICA(廂車),商用車,2020,4,192
DE,DELICA(廂車),商用車,2020,5,181
DE,DELICA(廂車),商用車,2020,6,236
DE,DELICA(廂車),商用車,2020,7,281
DE,DELICA(廂車),商用車,2020,8,230
DE,DELICA(廂車),商用車,2020,9,286
DE,DELICA(廂車),商用車,2020,10,389
DE,DELICA(廂車),商用車,2020,11,318
DE,DELICA(廂車),商用車,2020,12,236
DET,DELICA(貨車),商用車,2020,1,426
DET,DELICA(貨車),商用車,2020,2,490
DET,DELICA(貨車),商用車,2020,3,513
DET,DELICA(貨車),商用車,2020,4,494
DET,DELICA(貨車),商用車,2020,5,627
DET,DELICA(貨車),商用車,2020,6,659
DET,DELICA(貨車),商用車,2020,7,762
DET,DELICA(貨車),商用車,2020,8,555
DET,DELICA(貨車),商用車,2020,9,568
DET,DELICA(貨車),商用車,2020,10,586
DET,DELICA(貨車),商用車,2020,11,650
DET,DELICA(貨車),商用車,2020,12,400
JDP,A190,商用車,2020,1,934
JDP,A190,商用車,2020,2,863
JDP,A190,商用車,2020,3,1069
JDP,A190,商用車,2020,4,999
JDP,A190,商用車,2020,5,1031
JDP,A190,商用車,2020,6,980
JDP,A190,商用車,2020,7,1304
JDP,A190,商用車,2020,8,906
JDP,A190,商用車,2020,9,980
JDP,A190,商用車,2020,10,1163
JDP,A190,商用車,2020,11,1200
JDP,A190,商用車,2020,12,849
JDV,A180,商用車,2020,1,262
JDV,A180,商用車,2020,2,246
JDV,A180,商用車,2020,3,280
JDV,A180,商用車,2020,4,239
JDV,A180,商用車,2020,5,259
JDV,A180,商用車,2020,6,334
JDV,A180,商用車,2020,7,385
JDV,A180,商用車,2020,8,281
JDV,A180,商用車,2020,9,255
JDV,A180,商用車,2020,10,323
JDV,A180,商用車,2020,11,333
JDV,A180,商用車,2020,12,346
CP,菱利,商用車,2020,1,1
CP,菱利,商用車,2020,2,24
CP,菱利,商用車,2020,3,
CP,菱利,商用車,2020,4,
CP,菱利,商用車,2020,5,1
CP,菱利,商用車,2020,6,120
CP,菱利,商用車,2020,7,158
CP,菱利,商用車,2020,8,119
CP,菱利,商用車,2020,9,137
CP,菱利,商用車,2020,10,12
CP,菱利,商用車,2020,11,
CP,菱利,商用車,2020,12,
NPZ,COLTPLUS,乘用車,2021,1,749
NPZ,COLTPLUS,乘用車,2021,2,345
NPZ,COLTPLUS,乘用車,2021,3,365
NPZ,COLTPLUS,乘用車,2021,4,276
NPZ,COLTPLUS,乘用車,2021,5,376
NPZ,COLTPLUS,乘用車,2021,6,263
NPZ,COLTPLUS,乘用車,2021,7,257
NPZ,COLTPLUS,乘用車,2021,8,291
NPZ,COLTPLUS,乘用車,2021,9,365
NPZ,COLTPLUS,乘用車,2021,10,327
NPZ,COLTPLUS,乘用車,2021,11,363
NPZ,COLTPLUS,乘用車,2021,12,390
SR,LANCER,乘用車,2021,1,113
