Year,Month,Model,NOI,Category,CarType
2021,10,JDV,496,商用車,A180
2021,11,JDV,530,商用車,A180
2021,12,JDV,630,商用車,A180
2022,1,JDV,456,商用車,A180
2022,2,JDV,490,商用車,A180
2022,3,JDV,681,商用車,A180
2022,4,JDV,629,商用車,A180
2022,5,JDV,618,商用車,A180
2022,6,JDV,589,商用車,A180
2022,7,JDV,602,商用車,A180
2022,8,JDV,685,商用車,A180
2022,9,JDV,546,商用車,A180
2022,10,JDV,670,商用車,A180
2022,11,JDV,651,商用車,A180
2022,12,JDV,707,商用車,A180
2021,6,KZ,1,,
2018,1,NPZ45,1028,乘用車,COLTPLUS
2018,2,NPZ45,642,乘用車,COLTPLUS
2018,3,NPZ45,720,乘用車,COLTPLUS
2018,4,NPZ45,567,乘用車,COLTPLUS
2018,5,NPZ45,649,乘用車,COLTPLUS
2018,6,NPZ45,839,乘用車,COLTPLUS
2018,7,NPZ45,1007,乘用車,COLTPLUS
2018,8,NPZ45,570,乘用車,COLTPLUS
2018,9,NPZ45,633,乘用車,COLTPLUS
2018,10,NPZ45,668,乘用車,COLTPLUS
2018,11,NPZ45,665,乘用車,COLTPLUS
2018,12,NPZ45,1225,乘用車,COLTPLUS
2019,1,NPZ45,1187,乘用車,COLTPLUS
2019,2,NPZ45,654,乘用車,COLTPLUS
2019,3,NPZ45,797,乘用車,COLTPLUS
2019,4,NPZ45,793,乘用車,COLTPLUS
2019,5,NPZ45,887,乘用車,COLTPLUS
2019,6,NPZ45,1138,乘用車,COLTPLUS
2019,7,NPZ45,1548,乘用車,COLTPLUS
2019,8,NPZ45,584,乘用車,COLTPLUS
2019,9,NPZ45,705,乘用車,COLTPLUS
2019,10,NPZ45,628,乘用車,COLTPLUS
2019,11,NPZ45,961,乘用車,COLTPLUS
2019,12,NPZ45,1066,乘用車,COLTPLUS
2020,1,NPZ45,905,乘用車,COLTPLUS
2020,2,NPZ45,777,乘用車,COLTPLUS
2020,3,NPZ45,834,乘用車,COLTPLUS
2020,4,NPZ45,774,乘用車,COLTPLUS
2020,5,NPZ45,992,乘用車,COLTPLUS
2020,6,NPZ45,1230,乘用車,COLTPLUS
2020,7,NPZ45,1340,乘用車,COLTPLUS
2020,8,NPZ45,1043,乘用車,COLTPLUS
2020,9,NPZ45,712,乘用車,COLTPLUS
2020,10,NPZ45,948,乘用車,COLTPLUS
2020,11,NPZ45,1166,乘用車,COLTPLUS
2020,12,NPZ45,1428,乘用車,COLTPLUS
2021,1,NPZ45,1455,乘用車,COLTPLUS
2021,2,NPZ45,636,乘用車,COLTPLUS
2021,3,NPZ45,801,乘用車,COLTPLUS
2021,4,NPZ45,835,乘用車,COLTPLUS
2021,5,NPZ45,694,乘用車,COLTPLUS
2021,6,NPZ45,634,乘用車,COLTPLUS
2021,7,NPZ45,663,乘用車,COLTPLUS
2021,8,NPZ45,773,乘用車,COLTPLUS
2021,9,NPZ45,802,乘用車,COLTPLUS
2021,10,NPZ45,847,乘用車,COLTPLUS
2021,11,NPZ45,831,乘用車,COLTPLUS
2021,12,NPZ45,891,乘用車,COLTPLUS
2022,1,NPZ45,917,乘用車,COLTPLUS
2022,2,NPZ45,622,乘用車,COLTPLUS
2022,3,NPZ45,736,乘用車,COLTPLUS
2022,4,NPZ45,1007,乘用車,COLTPLUS
2022,5,NPZ45,834,乘用車,COLTPLUS
2022,6,NPZ45,928,乘用車,COLTPLUS
2022,7,NPZ45,1223,乘用車,COLTPLUS
2022,8,NPZ45,757,乘用車,COLTPLUS
2022,9,NPZ45,1002,乘用車,COLTPLUS
2022,10,NPZ45,817,乘用車,COLTPLUS
2022,11,NPZ45,1063,乘用車,COLTPLUS
2022,12,NPZ45,1327,乘用車,COLTPLUS
2018,1,NS,1164,,
2018,2,NS,428,,
2018,3,NS,465,,
2018,4,NS,524,,
2018,5,NS,603,,
2018,6,NS,484,,
2018,7,NS,629,,
2018,8,NS,350,,
2018,9,NS,625,,
2018,10,NS,723,,
2018,11,NS,631,,
2018,12,NS,882,,
2019,1,NS,575,,
2019,2,NS,507,,
2019,3,NS,575,,
2019,4,NS,498,,
2019,5,NS,443,,
2019,6,NS,551,,
2019,7,NS,517,,
2019,8,NS,524,,
2019,9,NS,517,,
2019,10,NS,540,,
2019,11,NS,528,,
2019,12,NS,535,,
2020,1,NS,323,,
2020,2,NS,269,,
2020,3,NS,680,,
2020,4,NS,419,,
2020,5,NS,350,,
2020,6,NS,393,,
2020,7,NS,332,,
2020,8,NS,259,,
2020,9,NS,249,,
2020,10,NS,302,,
2020,11,NS,379,,
2020,12,NS,188,,
2021,1,NS,379,,
2021,2,NS,232,,
2021,3,NS,282,,
2021,4,NS,204,,
2021,5,NS,122,,
2021,6,NS,103,,
2021,7,NS,107,,
2021,8,NS,117,,
2021,9,NS,142,,
2021,10,NS,154,,
2021,11,NS,176,,
2021,12,NS,166,,
2022,1,NS,125,,
2022,2,NS,114,,
2022,3,NS,145,,
2022,4,NS,170,,
2022,5,NS,186,,
2022,6,NS,148,,
2022,7,NS,138,,
2022,8,NS,217,,
2022,9,NS,173,,
2022,10,NS,150,,
2022,11,NS,163,,
2022,12,NS,152,,
2018,1,RE,1059,乘用車,OUTLANDER
2018,2,RE,513,乘用車,OUTLANDER
2018,3,RE,865,乘用車,OUTLANDER
2018,4,RE,874,乘用車,OUTLANDER
2018,5,RE,962,乘用車,OUTLANDER
2018,6,RE,905,乘用車,OUTLANDER
2018,7,RE,962,乘用車,OUTLANDER
2018,8,RE,589,乘用車,OUTLANDER
2018,9,RE,798,乘用車,OUTLANDER
2018,10,RE,916,乘用車,OUTLANDER
2018,11,RE,1049,乘用車,OUTLANDER
2018,12,RE,1424,乘用車,OUTLANDER
2019,1,RE,1350,乘用車,OUTLANDER
2019,2,RE,819,乘用車,OUTLANDER
2019,3,RE,1099,乘用車,OUTLANDER
2019,4,RE,988,乘用車,OUTLANDER
2019,5,RE,1175,乘用車,OUTLANDER
2019,6,RE,1318,乘用車,OUTLANDER
2019,7,RE,1425,乘用車,OUTLANDER
2019,8,RE,543,乘用車,OUTLANDER
